"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009135","purine nucleoside diphosphate metabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0009137","purine nucleoside diphosphate catabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0009154","purine ribonucleotide catabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0009179","purine ribonucleoside diphosphate metabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0009181","purine ribonucleoside diphosphate catabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0009191","ribonucleoside diphosphate catabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0046031","ADP metabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0046032","ADP catabolic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0006720","isoprenoid metabolic process",180,-0.510511174005744,-1.22243068445076,0.00457326979793704,0.0258488718855732,0.0180430722008294,3519,"tags=31%, list=18%, signal=26%","836690/829617/842775/834570/832804/844237/835334/820667/824885/839703/836666/827430/831009/819424/844284/829413/817805/816538/814779/829435/837236/814962/843028/837626/837193/836367/817234/823899/824479/842152/830751/816722/820185/842700/821181/5007993/834828/819647/840067/827908/836289/835806/837377/827061/842776/837610/814873/836400/827479/841670/834757/831587/836181/836838/827230/837953"
"GO:0065001","specification of axis polarity",27,-0.65458482509106,-1.45117175291274,0.00462837435614305,0.0259557130085977,0.0181176496177968,5104,"tags=52%, list=26%, signal=39%","840116/827760/835618/830976/831518/823605/818340/817361/830879/817199/818036/819127/827914/817173"
"GO:0009943","adaxial/abaxial axis specification",25,-0.660337015282997,-1.44929885233563,0.00495474476821771,0.0277072696103732,0.0193402740468078,6024,"tags=56%, list=30%, signal=39%","840116/824443/835618/830976/819153/831518/823605/818340/817199/818036/819127/827914/817173/844282"
"GO:2001057","reactive nitrogen species metabolic process",22,-0.683454528004109,-1.47843333349312,0.00497548714199315,0.0277446655884025,0.0193663772490902,1739,"tags=23%, list=9%, signal=21%","840056/823899/834085/837332/835168"
"GO:0009838","abscission",37,0.407326867429879,1.59081669207651,0.00501494590510157,0.0278859245540014,0.0194649790653164,2411,"tags=46%, list=12%, signal=40%","818785/824470/824802/819006/824918/843208/843810/822153/824408/829956/817746/828966/823964/828967/831345/819988/829712"
"GO:0016125","sterol metabolic process",31,-0.645246693865532,-1.44474139255664,0.00505103830584662,0.0280077236397226,0.0195499974640841,4602,"tags=42%, list=23%, signal=32%","832481/826763/829617/828374/835105/824460/843941/820679/826819/837254/834876/831216/838621"
"GO:0000819","sister chromatid segregation",57,-0.58950793692125,-1.36507657729692,0.00532752006199328,0.0294580521074923,0.0205623581340092,6827,"tags=61%, list=34%, signal=40%","842804/836434/830434/817411/841414/827271/825237/842392/829267/826806/817921/843272/816591/831404/828385/839140/838436/844213/822195/823970/818192/844108/824873/837359/821496/825338/834917/841471/821972/826539/830652/838135/830445/823728/821545"
"GO:0009166","nucleotide catabolic process",56,-0.588892926728965,-1.36344717595281,0.00540202962597019,0.029703639224694,0.020733783258745,4929,"tags=39%, list=25%, signal=30%","843741/824599/838822/829451/829420/844291/843207/823847/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0009629","response to gravity",91,-0.55193136078222,-1.30094706895695,0.00539662759634422,0.029703639224694,0.020733783258745,4870,"tags=37%, list=24%, signal=28%","821556/839108/820716/836370/843693/828569/820793/814812/824014/829919/823587/843393/843141/837997/831258/816703/835105/836013/816538/843330/829914/831618/814823/827328/833476/829311/818390/835257/822519/836598/832097/839405/827154/844173"
"GO:0009902","chloroplast relocation",26,-0.646317929244878,-1.42483712963896,0.00548679643498071,0.029919713156497,0.0208846075411159,4456,"tags=35%, list=22%, signal=27%","824335/820509/818643/843133/840860/836874/835621/835926/823721"
"GO:0051667","establishment of plastid localization",26,-0.646317929244878,-1.42483712963896,0.00548679643498071,0.029919713156497,0.0208846075411159,4456,"tags=35%, list=22%, signal=27%","824335/820509/818643/843133/840860/836874/835621/835926/823721"
